t,pitch_angle,yaw_angle,err_x_px,err_y_px,u_yaw_dps,u_pitch_dps,score,src
31.112318992614746,10.7,-21.6,5.864318916653474,6.994692342265353,0.9995166515359445,-1.16306778898604,0.5,blob
31.315773010253906,10.4,-21.4,2.936807295824792,2.6215500224724337,0.40840591595597037,-0.3147068181216861,0.5,blob
31.51782774925232,10.3,-21.3,0.33392474228605806,-1.795992485392901,-0.08468043645295709,0.5129544573084801,0.5,blob
31.68886423110962,10.4,-21.3,-4.507948917514113,-6.067395115505406,-1.0457166411879155,1.3136970580259901,0.5,blob
31.987210750579834,10.9,-21.6,-7.4801667963841965,-8.66880682507849,-1.5339163997933776,1.7168319510564694,0.5,blob
32.29978346824646,11.5,-22.1,-6.087108417649688,-7.20972443630103,-1.1877495896012153,1.354796515553438,0.5,blob
32.62636876106262,12.1,-22.5,-2.20662047147232,-3.2863208835956925,-0.40440426584824324,0.5621510505469992,0.5,blob
32.950976610183716,12.4,-22.7,5.215696693543009,1.7138914256628368,1.0291643301641007,-0.3981650932983468,0.5,blob
33.261401891708374,12.2,-22.4,8.465202850802939,5.664029426680827,1.6010414619273594,-1.1260822483252049,0.5,blob
33.55848264694214,11.8,-22.0,9.352381853021939,7.88161912734256,1.7169551719408902,-1.5075391802427047,0.5,blob
33.85430383682251,11.2,-21.5,7.479048204464334,7.57305243277267,1.3113532951007474,-1.4007110836662406,0.5,blob
34.150474309921265,10.7,-21.1,4.161381332901783,5.272484081302196,0.6556388367933756,-0.9273867185259883,0.5,blob
34.44843363761902,10.3,-20.8,2.004897866386159,1.5021146528464442,0.2580245815065187,-0.1946445861711264,0.5,blob
34.74376559257507,10.2,-20.7,-2.371816386848991,-2.5236254756497942,-0.572518185357545,0.5620096857401203,0.5,blob
35.05435824394226,10.4,-20.8,-8.191680651451861,-20.190356559172358,-1.6612717051798884,3.974869006994443,0.5,blob
